"가입년월","회원구분","연령대","성별","가입건수"
"202407","회원-내국인","~10대","F","2622"
"202407","회원-내국인","20대","F","4544"
"202407","회원-내국인","30대","F","2253"
"202407","회원-내국인","40대","F","1846"
"202407","회원-내국인","50대","F","1083"
"202407","회원-내국인","60대","F","326"
"202407","회원-내국인","70대이상","F","69"
"202407","회원-내국인","기타","F","19"
"202407","회원-내국인","~10대","M","4406"
"202407","회원-내국인","20대","M","5328"
"202407","회원-내국인","30대","M","3384"
"202407","회원-내국인","40대","M","2827"
"202407","회원-내국인","50대","M","1788"
"202407","회원-내국인","60대","M","708"
"202407","회원-내국인","70대이상","M","138"
"202407","회원-내국인","기타","M","47"
"202408","회원-내국인","~10대","F","2657"
"202408","회원-내국인","20대","F","5564"
"202408","회원-내국인","30대","F","2589"
"202408","회원-내국인","40대","F","1862"
"202408","회원-내국인","50대","F","1096"
"202408","회원-내국인","60대","F","305"
"202408","회원-내국인","70대이상","F","70"
"202408","회원-내국인","기타","F","24"
"202408","회원-내국인","~10대","M","4195"
"202408","회원-내국인","20대","M","6362"
"202408","회원-내국인","30대","M","3887"
"202408","회원-내국인","40대","M","2859"
"202408","회원-내국인","50대","M","1871"
"202408","회원-내국인","60대","M","690"
"202408","회원-내국인","70대이상","M","139"
"202408","회원-내국인","기타","M","45"
"202409","회원-내국인","~10대","F","3571"
"202409","회원-내국인","20대","F","9030"
"202409","회원-내국인","30대","F","4679"
"202409","회원-내국인","40대","F","3493"
"202409","회원-내국인","50대","F","1855"
"202409","회원-내국인","60대","F","479"
"202409","회원-내국인","70대이상","F","89"
"202409","회원-내국인","기타","F","33"
"202409","회원-내국인","~10대","M","4642"
"202409","회원-내국인","20대","M","8497"
"202409","회원-내국인","30대","M","5922"
"202409","회원-내국인","40대","M","4305"
"202409","회원-내국인","50대","M","2519"
"202409","회원-내국인","60대","M","998"
"202409","회원-내국인","70대이상","M","215"
"202409","회원-내국인","기타","M","54"
"202410","회원-내국인","~10대","F","4099"
"202410","회원-내국인","20대","F","8598"
"202410","회원-내국인","30대","F","5113"
"202410","회원-내국인","40대","F","4232"
"202410","회원-내국인","50대","F","2160"
"202410","회원-내국인","60대","F","516"
"202410","회원-내국인","70대이상","F","96"
"202410","회원-내국인","기타","F","33"
"202410","회원-내국인","~10대","M","5634"
"202410","회원-내국인","20대","M","8060"
"202410","회원-내국인","30대","M","6156"
"202410","회원-내국인","40대","M","5057"
"202410","회원-내국인","50대","M","2868"
"202410","회원-내국인","60대","M","1008"
"202410","회원-내국인","70대이상","M","186"
"202410","회원-내국인","기타","M","40"
"202411","회원-내국인","~10대","F","2492"
"202411","회원-내국인","20대","F","3861"
"202411","회원-내국인","30대","F","2412"
"202411","회원-내국인","40대","F","2194"
"202411","회원-내국인","50대","F","1059"
"202411","회원-내국인","60대","F","293"
"202411","회원-내국인","70대이상","F","64"
"202411","회원-내국인","기타","F","23"
"202411","회원-내국인","~10대","M","3633"
"202411","회원-내국인","20대","M","4196"
"202411","회원-내국인","30대","M","3092"
"202411","회원-내국인","40대","M","2753"
"202411","회원-내국인","50대","M","1565"
"202411","회원-내국인","60대","M","613"
"202411","회원-내국인","70대이상","M","137"
"202411","회원-내국인","기타","M","30"
"202412","회원-내국인","~10대","F","1274"
"202412","회원-내국인","20대","F","1448"
"202412","회원-내국인","30대","F","853"
"202412","회원-내국인","40대","F","735"
"202412","회원-내국인","50대","F","384"
"202412","회원-내국인","60대","F","121"
"202412","회원-내국인","70대이상","F","27"
"202412","회원-내국인","기타","F","5"
"202412","회원-내국인","~10대","M","2601"
"202412","회원-내국인","20대","M","1668"
"202412","회원-내국인","30대","M","1220"
"202412","회원-내국인","40대","M","1171"
"202412","회원-내국인","50대","M","843"
"202412","회원-내국인","60대","M","260"
"202412","회원-내국인","70대이상","M","60"
"202412","회원-내국인","기타","M","7"
